customer_id,full_name,city,phone,created_at
80,"Rahul Sharma","Karol Bagh",9810226999,2024-09-26
81,"Arjun Singh",Janakpuri,9867887757,2024-02-22
82,"Deepak Jain",Janakpuri,9899038359,2024-02-24
83,"Rahul Saxena",Saket,9899508850,2024-07-11
84,"Karan Yadav",Pitampura,9835748341,2024-07-22
85,"Karan Gupta",Saket,9864502486,2024-09-27
86,"Amit Yadav",Saket,9838210242,2024-07-26
87,"Ravi Jain",Janakpuri,9872409658,2024-08-15
88,"Vikas Saxena","Preet Vihar",9832775593,2024-11-03
89,"Rahul Saxena",Janakpuri,9822534217,2024-04-22
90,"Rahul Singh","Lajpat Nagar",9829777514,2024-01-02
91,"Vikas Kapoor",Dwarka,9871124923,2024-07-21
92,"Ravi Singh","Karol Bagh",9876354180,2024-07-08
93,"Sanjay Sharma",Dwarka,9867062156,2024-04-06
94,"Arjun Kapoor",Rohini,9884813739,2024-04-28
95,"Rohan Kapoor",Pitampura,9872363359,2024-11-17
96,"Arjun Jain",Janakpuri,9869401199,2024-10-27
97,"Arjun Mehra","Preet Vihar",9831361812,2024-12-28
98,"Manish Kapoor",Saket,9843183955,2024-11-09
99,"Arjun Kapoor","Lajpat Nagar",9846855845,2024-08-03
100,"Rahul Singh",Saket,9855076693,2024-06-18
101,"Rohan Gupta",Pitampura,9841039390,2024-07-23
102,"Sanjay Singh",Dwarka,9865682626,2024-07-11
103,"Arjun Kapoor","Karol Bagh",9818357162,2024-04-27
104,"Karan Mehra",Rohini,9887267850,2024-07-16
105,"Amit Bansal",Saket,9862343121,2024-07-18
106,"Arjun Jain","Lajpat Nagar",9875529051,2024-04-09
107,"Karan Kapoor",Rohini,9862191530,2024-06-22
108,"Karan Gupta","Preet Vihar",9827129912,2024-10-18
109,"Amit Mehra",Rohini,9821267237,2024-11-14
110,"Sanjay Kapoor",Pitampura,9816749089,2024-05-13
111,"Deepak Singh","Preet Vihar",9853868501,2024-06-25
112,"Karan Yadav","Karol Bagh",9843859311,2024-02-16
113,"Amit Saxena",Rohini,9856970882,2024-04-21
114,"Rohan Sharma",Rohini,9843189803,2024-04-27
115,"Amit Jain",Pitampura,9842016960,2024-03-16
116,"Rohan Jain","Lajpat Nagar",9872415804,2024-12-09
117,"Deepak Gupta",Dwarka,9831980274,2024-05-04
118,"Ravi Sharma",Saket,9887282128,2024-11-13
119,"Karan Singh",Dwarka,9889470029,2024-12-27
120,"Vikas Verma",Saket,9890585882,2024-02-26
121,"Ravi Sharma",Janakpuri,9881503856,2024-07-22
122,"Deepak Verma",Janakpuri,9811698142,2024-07-27
123,"Manish Verma","Karol Bagh",9858612055,2024-11-27
124,"Manish Gupta","Karol Bagh",9833640702,2024-12-17
125,"Rahul Jain","Preet Vihar",9872394301,2024-07-27
126,"Ravi Yadav",Janakpuri,9842949803,2024-02-09
127,"Manish Singh","Preet Vihar",9886483924,2024-10-22
128,"Karan Bansal",Rohini,9876344695,2024-06-06
129,"Manish Singh",Janakpuri,9844675473,2024-06-09
130,"Ravi Yadav",Rohini,9879340535,2024-04-03
131,"Vikas Mehra","Preet Vihar",9884514489,2024-04-23
132,"Manish Kapoor","Preet Vihar",9812314351,2024-02-10
133,"Vikas Mehra","Lajpat Nagar",9851098277,2024-11-19
134,"Deepak Kapoor",Janakpuri,9867110154,2024-12-18
135,"Deepak Bansal","Preet Vihar",9846361787,2024-05-09
136,"Vikas Verma","Lajpat Nagar",9852352128,2024-02-24
137,"Arjun Gupta","Lajpat Nagar",9839042654,2024-12-16
138,"Rahul Jain",Saket,9823492385,2024-04-10
139,"Vikas Bansal",Pitampura,9850569669,2024-01-23
140,"Arjun Gupta",Saket,9816109013,2024-01-18
141,"Rahul Gupta","Preet Vihar",9823769080,2024-01-19
142,"Rahul Kapoor","Preet Vihar",9869118721,2024-06-06
143,"Amit Yadav","Preet Vihar",9825312516,2024-02-13
144,"Manish Verma",Rohini,9830364454,2024-03-26
145,"Ravi Yadav",Dwarka,9843311626,2024-02-18
146,"Karan Jain","Lajpat Nagar",9880138498,2024-07-15
147,"Manish Yadav","Karol Bagh",9850987442,2024-10-20
148,"Amit Jain",Dwarka,9837888820,2024-11-07
149,"Rahul Verma",Pitampura,9842194159,2024-03-18
150,"Rohan Gupta",Rohini,9864830300,2024-08-23
151,"Ravi Kapoor",Saket,9814380847,2024-04-10
152,"Rahul Kapoor",Dwarka,9841329612,2024-05-26
153,"Ravi Singh","Karol Bagh",9825405014,2024-09-08
154,"Sanjay Yadav",Pitampura,9819584466,2024-01-06
155,"Rahul Jain",Saket,9868942178,2024-02-15
156,"Rahul Mehra",Saket,9877172238,2024-09-16
157,"Manish Verma",Rohini,9867985905,2024-12-11
158,"Ravi Yadav",Rohini,9822257687,2024-04-22
159,"Ravi Jain",Rohini,9846173157,2024-10-02
160,"Sanjay Kapoor","Preet Vihar",9847333543,2024-03-19
161,"Karan Kapoor",Dwarka,9873083727,2024-06-14
162,"Deepak Bansal",Dwarka,9831585546,2024-06-14
163,"Manish Yadav","Karol Bagh",9883832717,2024-01-15
164,"Rohan Bansal",Saket,9853389073,2024-02-25
165,"Karan Saxena",Rohini,9898269682,2024-09-15
166,"Karan Sharma","Lajpat Nagar",9879583757,2024-06-20
167,"Manish Kapoor",Rohini,9837321124,2024-05-18
168,"Sanjay Yadav","Preet Vihar",9875056916,2024-02-01
169,"Ravi Singh",Pitampura,9851708177,2024-09-01
170,"Arjun Mehra",Dwarka,9840158811,2024-02-15
171,"Rohan Gupta","Preet Vihar",9849172995,2024-09-23
172,"Rahul Mehra","Preet Vihar",9873380266,2024-04-15
173,"Arjun Gupta","Karol Bagh",9835583290,2024-10-17
174,"Sanjay Verma",Saket,9865692629,2024-06-26
175,"Arjun Yadav",Rohini,9847962005,2024-12-10
176,"Ravi Jain","Preet Vihar",9829944139,2024-08-18
177,"Manish Bansal",Janakpuri,9884077101,2024-09-13
178,"Manish Bansal","Lajpat Nagar",9842051937,2024-10-13
179,"Vikas Mehra",Rohini,9852704903,2024-12-16
180,"Karan Mehra",Pitampura,9876481885,2024-01-05
181,"Arjun Jain",Janakpuri,9823470708,2024-08-04
182,"Arjun Kapoor",Rohini,9829348212,2024-07-28
183,"Sanjay Verma","Preet Vihar",9845570755,2024-06-20
184,"Karan Verma",Janakpuri,9881621574,2024-07-11
185,"Manish Saxena",Rohini,9892874006,2024-02-08
186,"Rahul Singh",Dwarka,9868246664,2024-02-25
187,"Rohan Kapoor",Pitampura,9850193656,2024-01-02
188,"Deepak Sharma",Saket,9858112135,2024-06-14
189,"Sanjay Singh","Karol Bagh",9885957578,2024-11-26
190,"Sanjay Gupta",Pitampura,9820598952,2024-10-28
191,"Karan Jain","Lajpat Nagar",9876795767,2024-10-05
192,"Vikas Kapoor",Saket,9871682508,2024-05-22
193,"Amit Kapoor",Saket,9883363160,2024-03-03
194,"Manish Bansal",Saket,9895756900,2024-07-23
195,"Rahul Kapoor",Saket,9836738452,2024-07-28
196,"Manish Verma","Lajpat Nagar",9861185849,2024-10-12
197,"Ravi Yadav",Saket,9812944682,2024-11-13
198,"Rahul Sharma",Rohini,9891390501,2024-12-16
199,"Rahul Singh",Janakpuri,9839394291,2024-11-07
200,"Ravi Yadav",Pitampura,9894322033,2024-02-21
201,"Amit Yadav","Preet Vihar",9814478111,2024-10-12
202,"Sanjay Verma",Saket,9853851498,2024-12-14
203,"Sanjay Singh",Pitampura,9882398083,2024-06-17
204,"Arjun Yadav",Pitampura,9844489940,2024-08-26
205,"Rahul Bansal",Dwarka,9872858374,2024-02-05
206,"Vikas Mehra",Janakpuri,9822120246,2024-07-01
207,"Rahul Saxena",Dwarka,9871040347,2024-06-22
208,"Rahul Jain","Karol Bagh",9895704631,2024-06-04
209,"Vikas Kapoor",Rohini,9893154172,2024-09-11
210,"Ravi Singh",Dwarka,9895282470,2024-08-23
211,"Rahul Mehra",Dwarka,9828760553,2024-01-02
212,"Rahul Kapoor",Dwarka,9823044889,2024-04-18
213,"Sanjay Mehra","Preet Vihar",9859796322,2024-11-24
214,"Arjun Mehra",Pitampura,9865684858,2024-11-04
215,"Manish Jain","Karol Bagh",9847546086,2024-01-23
216,"Deepak Singh","Preet Vihar",9869686067,2024-04-28
217,"Deepak Verma",Janakpuri,9883076970,2024-11-12
218,"Amit Mehra",Saket,9835475673,2024-02-28
219,"Manish Verma","Lajpat Nagar",9896128115,2024-11-20
220,"Amit Sharma",Janakpuri,9842691263,2024-03-26
221,"Ravi Singh",Dwarka,9884384510,2024-04-19
222,"Vikas Singh",Janakpuri,9829804386,2024-10-01
223,"Rahul Gupta",Pitampura,9882506491,2024-05-26
224,"Sanjay Verma",Rohini,9827690330,2024-01-12
225,"Vikas Jain",Janakpuri,9812118101,2024-03-09
226,"Amit Gupta","Karol Bagh",9880610004,2024-02-24
227,"Rohan Kapoor","Preet Vihar",9858592048,2024-09-19
228,"Rohan Kapoor","Lajpat Nagar",9892558242,2024-01-24
229,"Arjun Yadav","Preet Vihar",9896347724,2024-01-02
230,"Manish Mehra","Karol Bagh",9824490391,2024-08-23
231,"Manish Verma",Dwarka,9853233116,2024-10-05
232,"Rohan Gupta",Saket,9893794475,2024-11-19
233,"Arjun Bansal","Karol Bagh",9890180577,2024-09-10
234,"Manish Saxena","Karol Bagh",9823311507,2024-12-04
235,"Arjun Singh","Karol Bagh",9870606674,2024-04-14
236,"Deepak Kapoor","Karol Bagh",9865833185,2024-12-04
237,"Deepak Mehra",Janakpuri,9899269266,2024-05-12
238,"Sanjay Kapoor",Dwarka,9822243983,2024-02-03
239,"Karan Verma",Janakpuri,9827463800,2024-09-02
240,"Ravi Saxena",Janakpuri,9899927658,2024-02-14
241,"Deepak Mehra",Rohini,9848604965,2024-10-10
242,"Deepak Verma","Lajpat Nagar",9830767532,2024-11-16
243,"Vikas Verma",Janakpuri,9884660688,2024-06-04
244,"Rahul Jain","Lajpat Nagar",9867594492,2024-09-25
245,"Ravi Jain",Rohini,9891737913,2024-11-27
246,"Rahul Sharma",Pitampura,9846677730,2024-12-25
247,"Rahul Bansal",Janakpuri,9810819505,2024-03-28
248,"Sanjay Jain","Karol Bagh",9819339597,2024-03-24
249,"Amit Verma","Lajpat Nagar",9860491958,2024-07-15
250,"Deepak Gupta",Janakpuri,9851827259,2024-12-11
